Year,MAR,Men,Women,AFG,Men,Women,AHO,Men,Women,ALG,Men,Women,ANZ,Men,Women,ARG,Men,Women,ARM,Men,Women,AUS,Men,Women,AUT,Men,Women,AZE,Men,Women,BAH,Men,Women,BAR,Men,Women,BDI,Men,Women,BEL,Men,Women,BER,Men,Women,BLR,Men,Women,BOH,Men,Women,BRA,Men,Women,BUL,Men,Women,BWI,Men,Women,CAN,Men,Women,CHI,Men,Women,CHN,Men,Women,CIV,Men,Women,CMR,Men,Women,COL,Men,Women,CRC,Men,Women,CRO,Men,Women,CUB,Men,Women,CZE,Men,Women,DEN,Men,Women,DJI,Men,Women,DOM,Men,Women,ECU,Men,Women,EGY,Men,Women,ERI,Men,Women,ESP,Men,Women,EST,Men,Women,ETH,Men,Women,EUA,Men,Women,EUN,Men,Women,FIN,Men,Women,FRA,Men,Women,FRG,Men,Women,GBR,Men,Women,GDR,Men,Women,GEO,Men,Women,GER,Men,Women,GHA,Men,Women,GRE,Men,Women,GUY,Men,Women,HAI,Men,Women,HKG,Men,Women,HUN,Men,Women,INA,Men,Women,IND,Men,Women,IOP,Men,Women,IRI,Men,Women,IRL,Men,Women,IRQ,Men,Women,ISL,Men,Women,ISR,Men,Women,ISV,Men,Women,ITA,Men,Women,JAM,Men,Women,JPN,Men,Women,KAZ,Men,Women,KEN,Men,Women,KGZ,Men,Women,KOR,Men,Women,KSA,Men,Women,KUW,Men,Women,LAT,Men,Women,LIB,Men,Women,LTU,Men,Women,LUX,Men,Women,MAS,Men,Women,MDA,Men,Women,MEX,Men,Women,MGL,Men,Women,MKD,Men,Women,MOZ,Men,Women,MRI,Men,Women,NAM,Men,Women,NED,Men,Women,NGR,Men,Women,NIG,Men,Women,NOR,Men,Women,NZL,Men,Women,PAK,Men,Women,PAN,Men,Women,PAR,Men,Women,PER,Men,Women,PHI,Men,Women,POL,Men,Women,POR,Men,Women,PRK,Men,Women,PUR,Men,Women,QAT,Men,Women,ROU,Men,Women,RSA,Men,Women,RU1,Men,Women,RUS,Men,Women,SCG,Men,Women,SEN,Men,Women,SIN,Men,Women,SLO,Men,Women,SRB,Men,Women,SRI,Men,Women,SUD,Men,Women,SUI,Men,Women,SUR,Men,Women,SVK,Men,Women,SWE,Men,Women,SYR,Men,Women,TAN,Men,Women,TCH,Men,Women,TGA,Men,Women,THA,Men,Women,TJK,Men,Women,TOG,Men,Women,TPE,Men,Women,TRI,Men,Women,TUN,Men,Women,TUR,Men,Women,UAE,Men,Women,UGA,Men,Women,UKR,Men,Women,URS,Men,Women,URU,Men,Women,USA,Men,Women,UZB,Men,Women,VEN,Men,Women,VIE,Men,Women,YUG,Men,Women,ZAM,Men,Women,ZIM,Men,Women,ZZX,Men,Women
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,42,19,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,0,18,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,17,0,0,0,0,26,0,0,31,1,0,0,0,0,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,18,0,0,0,0,17,0,0,0,0,0,5,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,140,29,0,12,0,0,98,20,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,25,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,1,0,0,63,25,0,0,0,0,6,0,0,11,0,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,58,7,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82,6,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,2,0,0,0,0,0,0,0,0,0,0,0,6,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,130,39,0,0,0,0,91,21,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,102,13,0,0,0,0,5,0,0,28,3,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,9,0,0,0,0,15,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,0,0,0,46,18,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,0,1,0,0,0,0,0,0,0,0,5,1,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,46,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,126,48,0,1,0,0,115,34,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,39,10,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,26,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,25,2,0,39,10,0,15,3,0,35,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,11,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,0,0,55,12,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,6,0,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,139,49,0,0,0,0,107,42,0,0,0,0,1,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,4,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,22,0,0,70,26,0,25,4,0,101,47,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,66,15,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,1,0,0,43,13,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,1,0,0,8,0,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,0,0,0,0,4,11,0,0,0,0,0,0,0,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,166,45,0,0,0,0,123,32,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,3,0,0,14,25,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,5,0,64,11,0,32,0,0,94,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,0,2,0,0,29,12,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,6,0,0,27,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1,0,2,0,0,2,0,0,1,0,0,0,0,0,38,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,104,0,0,0,0,105,50,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,56,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,1,0,23,6,0,0,0,0,32,13,0,140,120,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,53,8,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,6,0,0,0,0,5,0,0,0,0,0,0,0,0,48,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,4,0,0,0,0,2,0,0,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,307,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,26,0,0,0,0,0,16,0,0,0
1984,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,39,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,50,36,0,0,0,0,27,49,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,61,7,0,108,49,0,55,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,59,4,0,4,2,0,34,15,0,0,0,0,3,0,0,0,0,0,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,0,5,0,0,0,0,0,3,1,0,23,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,48,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,22,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,131,0,0,0,0,3,0,0,0,0,0,72,15,0,1,0,0,0,0,0,0,0
1988,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0,0,13,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,19,22,0,0,0,0,11,10,0,1,0,0,14,39,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,27,2,0,94,19,0,47,6,0,86,88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,5,0,4,1,0,16,4,0,0,0,0,9,0,0,0,0,0,41,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,0,0,0,0,0,8,15,0,20,4,0,1,0,0,0,0,0,0,0,0,0,12,0,1,0,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,14,2,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,207,87,0,0,0,0,131,62,0,0,0,0,0,0,0,0,0,0,47,16,0,0,0,0,0,0,0,0,0
1992,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,45,12,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,14,0,0,12,5,0,0,0,0,24,20,0,0,0,0,26,57,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,52,19,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,25,0,2,1,0,2,1,0,0,0,0,129,94,0,7,0,0,50,7,0,0,0,0,26,24,0,0,0,0,0,0,0,113,85,0,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,32,13,0,5,1,0,0,0,0,1,2,0,3,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,39,7,0,1,3,0,37,10,0,0,0,0,8,0,0,0,0,0,21,28,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,24,9,0,7,4,0,0,0,0,8,15,0,10,5,0,16,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40,2,0,0,0,0,7,3,0,1,0,0,1,0,0,21,32,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,29,6,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,2,0,0,60,72,0,2,1,0,1,0,0,0,5,0,0,0,0,1,0,0,3,3,0,0,0,0,11,12,0,0,0,0,36,28,0,12,9,0,0,0,0,19,32,0,0,0,0,30,80,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,39,18,0,8,5,0,6,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54,13,0,0,0,0,1,2,0,0,0,0,0,0,0,3,1,0,32,19,0,0,0,0,25,1,0,0,0,0,2,0,0,76,48,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,22,21,0,4,2,0,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,54,17,0,7,9,0,26,17,0,11,0,0,7,1,0,0,0,0,19,47,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,3,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,44,29,0,19,7,0,0,0,0,6,19,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,6,0,2,1,0,4,1,0,1,0,0,0,0,0,9,29,0,2,3,0,0,0,0,84,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,3,0,0,24,7,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,6,0,0,0,0,0,1,0,0,20,14,0,0,0,0,0,0,0,131,129,0,2,0,0,0,0,0,0,0,0,24,2,0,1,0,0,0,0,0,0,0
2000,0,4,1,0,0,0,0,0,0,0,4,1,0,0,0,0,3,17,0,1,0,0,94,89,0,3,1,0,2,1,0,0,6,0,1,0,0,0,0,0,3,4,0,0,0,0,9,13,0,0,0,0,20,28,0,10,3,0,0,0,0,8,23,0,18,0,0,35,44,0,0,0,0,18,0,0,0,1,0,0,2,0,10,0,0,51,18,0,8,1,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0,3,0,0,5,3,0,0,0,0,0,0,0,5,0,0,53,13,0,0,0,0,40,15,0,0,0,0,6,0,0,60,59,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,28,25,0,4,4,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,52,13,0,7,16,0,5,38,0,6,1,0,7,0,0,1,0,0,59,14,0,2,0,0,1,0,0,3,0,0,0,0,0,13,4,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,33,46,0,6,2,0,0,0,0,8,36,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,1,1,0,2,2,0,0,0,0,1,0,0,9,37,0,3,2,0,0,0,0,99,89,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,6,8,0,0,0,0,4,2,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,22,13,0,0,0,0,1,0,0,119,129,0,4,0,0,0,0,0,0,1,0,25,1,0,0,0,0,0,0,0,0,0
2004,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,19,0,0,0,0,95,62,0,6,2,0,3,2,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,9,8,0,0,0,0,21,19,0,8,9,0,0,0,0,10,7,0,4,0,0,30,64,0,0,0,0,0,1,0,0,2,0,0,0,0,20,0,0,39,22,0,9,3,0,9,20,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,21,6,0,3,0,0,3,4,0,0,0,0,0,0,0,2,0,0,31,22,0,0,0,0,35,22,0,0,0,0,4,0,0,75,74,0,0,0,0,10,21,0,0,0,0,0,0,0,2,0,0,29,11,0,4,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,76,26,0,1,12,0,54,40,0,8,0,0,5,2,0,0,0,0,22,30,0,0,0,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,40,0,8,0,0,0,0,0,5,2,0,3,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,4,8,0,3,0,0,2,3,0,0,0,0,0,0,0,12,27,0,9,1,0,0,0,0,99,93,0,13,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,9,1,0,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,9,1,0,1,0,0,0,0,0,17,31,0,0,0,0,0,0,0,117,147,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2008,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,34,17,0,6,0,0,64,85,0,1,2,0,6,1,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,16,14,0,0,0,0,40,35,0,3,2,0,0,0,0,25,9,0,1,0,0,56,128,0,0,0,0,0,1,0,1,1,0,0,0,0,1,4,0,38,9,0,4,3,0,15,3,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,57,14,0,3,0,0,4,3,0,0,0,0,0,0,0,2,3,0,66,10,0,0,0,0,48,29,0,0,0,0,5,1,0,55,46,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,20,7,0,5,2,0,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,14,0,0,1,0,0,0,0,0,28,14,0,6,11,0,24,27,0,9,4,0,9,5,0,2,0,0,47,31,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,0,0,0,1,0,0,1,0,0,1,3,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,58,0,19,5,0,0,0,0,5,17,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,4,0,1,1,0,1,5,0,0,0,0,0,0,0,1,21,0,1,0,0,0,0,0,63,80,0,0,0,0,0,0,0,0,3,0,3,2,0,15,0,0,0,0,0,1,0,0,9,2,0,0,0,0,8,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0,0,2,2,0,5,0,0,1,0,0,4,4,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,153,162,0,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0